head,tail,relation
盐酸萘甲唑啉滴鼻液,炎症性鼻充血,cure
盐酸萘甲唑啉滴鼻液,鼻塞,cure
盐酸萘甲唑啉滴鼻液,过敏,cure
盐酸萘甲唑啉滴鼻液,炎症性鼻充血,cure
盐酸尼卡地平片,高血压,cure
盐酸尼卡地平片,心绞痛,cure
盐酸尼卡地平,出血,cure
盐酸尼卡地平,原发性高血压,cure
盐酸尼卡地平,出血,cure
盐酸尼卡地平葡萄糖注射液,手术时异常高血压,cure
注射用盐酸尼莫司汀,消化道癌,cure
注射用盐酸尼莫司汀,恶性淋巴瘤,cure
注射用盐酸尼莫司汀,消化道癌,cure
注射用盐酸尼莫司汀,恶性淋巴瘤,cure
注射用盐酸尼莫司汀,直肠癌,cure
注射用盐酸尼莫司汀,胃癌,cure
盐酸帕罗西汀片,抑郁,cure
盐酸哌甲酯片,发作性睡病,cure
盐酸哌仑西平片,出血,cure
盐酸哌仑西平片,十二指肠溃疡,cure
盐酸哌替啶注射液,人工冬眠,cure
盐酸哌替啶注射液,癌症,cure
盐酸哌替啶注射液,哮喘,cure
盐酸哌替啶片,疼痛,cure
盐酸哌替啶注射液,水肿,cure
盐酸哌唑嗪片,高血压,cure
注射用盐酸平阳霉素,外阴癌,cure
注射用盐酸平阳霉素,乳腺癌,cure
盐酸普鲁卡因注射液,硬膜外麻醉,cure
盐酸普鲁卡因注射液,惊厥,cure
盐酸普鲁卡因注射液,硬膜外麻醉,cure
盐酸普鲁卡因注射液,硬膜外麻醉,cure
盐酸普鲁卡因注射液,硬膜外麻醉,cure
盐酸普鲁卡因注射液,硬膜外麻醉及封闭疗法,cure
盐酸普鲁卡因胺片,室性心律失常,cure
盐酸普罗帕酮注射液,预激综合征,cure
盐酸普罗帕酮注射液,心动过速,cure
盐酸普罗帕酮胶囊,阵发性室性心动过速,cure
盐酸普罗帕酮注射液,预激综合征,cure
盐酸普罗帕酮注射液,心动过速,cure
盐酸普罗帕酮片,阵发性室性心动过速,cure
盐酸普罗帕酮片,室性心动过速,cure
盐酸普罗帕酮片,预激综合征,cure
盐酸普罗帕酮注射液,心房扑动,cure
盐酸普罗帕酮注射液,室上性心动过速,cure
盐酸普罗帕酮注射液,心动过速,cure
盐酸普萘洛尔片,甲状腺危象,cure
盐酸普萘洛尔注射液,心悸,cure
盐酸普萘洛尔片,心动过速,cure
盐酸普萘洛尔片,室性心律失常,cure
盐酸普萘洛尔片,甲状腺危象,cure
盐酸普萘洛尔片,肥厚型心肌病,cure
盐酸普萘洛尔片,心绞痛,cure
盐酸普萘洛尔片,室性心律失常,cure
盐酸普萘洛尔片,甲状腺危象,cure
盐酸普萘洛尔片,肥厚型心肌病,cure
盐酸普萘洛尔片,心绞痛,cure
盐酸普萘洛尔片,心动过速,cure
盐酸普萘洛尔片,室性心律失常,cure
盐酸普萘洛尔片,肥厚型心肌病,cure
盐酸普萘洛尔片,心绞痛,cure
盐酸普萘洛尔片,心动过速,cure
盐酸普萘洛尔片,室性心律失常,cure
盐酸普萘洛尔片,甲状腺危象,cure
盐酸羟苄唑滴眼液,出血,cure
盐酸羟苄唑滴眼液,出血,cure
盐酸羟苄唑滴眼液,出血,cure
盐酸羟苄唑滴眼液,结膜炎,cure
盐酸羟苄唑滴眼液,出血,cure
盐酸青藤碱肠溶片,关节炎,cure
盐酸青藤碱肠溶片,关节炎,cure
盐酸曲吡那敏片,枯草热,cure
盐酸曲吡那敏片,枯草热,cure
盐酸曲马多注射液,慢性疼痛,cure
盐酸曲马多片,疼痛,cure
盐酸曲马多片,骨折,cure
盐酸曲马多片,慢性疼痛,cure
盐酸曲马多缓释胶囊,慢性疼痛,cure
盐酸曲马多滴剂,癌症,cure
盐酸曲马多注射液,骨折,cure
盐酸曲马多片,术后疼痛,cure
盐酸曲马多注射液,癌症,cure
盐酸曲马多片,心脏病,cure
盐酸曲马多片,牙痛,cure
盐酸曲美他嗪片,心绞痛,cure
盐酸曲美他嗪片,心绞痛,cure
盐酸曲普利啶片,鼻炎,cure
盐酸曲唑酮片,抑郁症状,cure
注射用盐酸去甲万古霉素,骨髓炎,cure
注射用盐酸去甲万古霉素,过敏,cure
注射用盐酸去甲万古霉素,流感,cure
注射用盐酸去甲万古霉素,梭状芽脆杆菌所致的肠道感染,cure
注射用盐酸去氧肾上腺素,心动过速,cure
盐酸赛庚啶片,皮肤瘙痒,cure
盐酸赛庚啶片,瘙痒,cure
盐酸赛庚啶片,过敏,cure
盐酸赛庚啶片,皮肤瘙痒,cure
盐酸赛庚啶片,瘙痒,cure
盐酸赛庚啶片,过敏,cure
盐酸赛庚啶片,皮肤瘙痒,cure
盐酸赛洛唑啉滴鼻液,鼻炎,cure
盐酸赛洛唑啉喷鼻液,感冒,cure
盐酸三氟拉嗪片,慢性精神分裂症,cure
盐酸舍曲林胶囊,强迫症,cure
盐酸肾上腺素注射液,心肺复苏,cure
盐酸肾上腺素注射液,过敏,cure
盐酸肾上腺素注射液,延长浸润麻醉用药的作用时间,cure
盐酸肾上腺素注射液,心脏骤停,cure
盐酸肾上腺素注射液,过敏性休克,cure
盐酸肾上腺素注射液,支气管痉挛,cure
盐酸肾上腺素注射液,休克,cure
盐酸肾上腺素注射液,心肺复苏,cure
盐酸肾上腺素注射液,过敏,cure
盐酸肾上腺素注射液,延长浸润麻醉用药的作用时间,cure
盐酸四环素片,宫颈炎,cure
盐酸四环素片,软下疳,cure
盐酸四环素胶囊,过敏,cure
盐酸四环素胶囊,伤风,cure
盐酸四环素片,霍乱,cure
盐酸四环素片,性病,cure
盐酸四环素胶囊,淋病,cure
盐酸四环素胶囊,衣原体属感染,cure
盐酸四环素胶囊,尿道炎,cure
盐酸四环素胶囊,Q热,cure
盐酸四环素胶囊,葡萄球菌感染,cure
盐酸四环素胶囊,宫颈炎,cure
盐酸四环素胶囊,软下疳,cure
注射用盐酸四环素,流行性斑疹伤寒,cure
盐酸四环素胶囊,淋病,cure
盐酸四环素胶囊,衣原体属感染,cure
盐酸四环素胶囊,尿道炎,cure
盐酸四环素胶囊,Q热,cure
盐酸四环素胶囊,葡萄球菌感染,cure
盐酸四环素片,宫颈炎,cure
盐酸四环素片,软下疳,cure
盐酸四环素片,过敏,cure
盐酸四环素片,伤风,cure
盐酸四环素片,霍乱,cure
盐酸四环素片,性病,cure
盐酸四环素片,淋病,cure
盐酸四环素片,衣原体属感染,cure
盐酸四环素片,尿道炎,cure
盐酸四环素片,Q热,cure
盐酸四环素片,葡萄球菌感染,cure
盐酸四环素片,宫颈炎,cure
盐酸四环素片,软下疳,cure
注射用盐酸四环素,流行性斑疹伤寒,cure
盐酸索他洛尔注射液,室性快速型心律失常,cure
盐酸特比萘芬溶液,体癣,cure
盐酸特比萘芬凝胶,皮肤念珠菌病,cure
盐酸特比萘芬乳膏,股癣,cure
盐酸特比萘芬乳膏,皮肤念珠菌病,cure
盐酸特比萘芬乳膏,体癣,cure
盐酸特比萘芬乳膏,足癣,cure
盐酸特比萘芬凝胶,足癣,cure
盐酸特拉唑嗪胶囊,良性前列腺增生,cure
盐酸特拉唑嗪胶囊,良性前列腺增生,cure
盐酸特拉唑嗪胶囊,良性前列腺增生,cure
盐酸头孢他美酯片,扁桃体炎,cure
盐酸头孢他美酯片,下呼吸道感染,cure
盐酸头孢他美酯片,泌尿系统感染,cure
盐酸头孢他美酯片,中耳炎,cure
盐酸头孢他美酯片,肾炎,cure
盐酸头孢他美酯片,急性支气管炎,cure
盐酸头孢他美酯片,尿路感染,cure
盐酸头孢他美酯片,尿路感染,cure
盐酸头孢他美酯片,喉部感染,cure
盐酸头孢他美酯片,咽炎,cure
盐酸头孢他美酯片,尿道炎,cure
盐酸头孢他美酯片,鼻窦炎,cure
盐酸头孢他美酯片,肾盂肾炎,cure
盐酸土霉素片,钩端螺旋体病,cure
盐酸土霉素片,尿道炎,cure
盐酸土霉素片,阿米巴病,cure
盐酸土霉素片,流感,cure
盐酸土霉素片,雅司,cure
盐酸土霉素片,霍乱,cure
盐酸土霉素片,沙眼,cure
盐酸土霉素片,钩端螺旋体病,cure
盐酸土霉素片,尿道炎,cure
盐酸土霉素片,阿米巴病,cure
盐酸土霉素片,流感,cure
盐酸土霉素片,雅司,cure
盐酸土霉素片,霍乱,cure
盐酸土霉素片,沙眼,cure
盐酸土霉素片,钩端螺旋体病,cure
盐酸土霉素片,尿道炎,cure
盐酸土霉素片,阿米巴病,cure
盐酸土霉素片,流感,cure
盐酸土霉素片,雅司,cure
盐酸土霉素片,霍乱,cure
盐酸土霉素片,沙眼,cure
盐酸土霉素片,钩端螺旋体病,cure
盐酸土霉素片,尿道炎,cure
盐酸土霉素片,阿米巴病,cure
盐酸土霉素片,流感,cure
盐酸土霉素片,雅司,cure
盐酸土霉素片,霍乱,cure
盐酸土霉素片,沙眼,cure
盐酸土霉素片,钩端螺旋体病,cure
盐酸土霉素片,尿道炎,cure
盐酸土霉素片,阿米巴病,cure
盐酸土霉素片,流感,cure
盐酸土霉素片,雅司,cure
盐酸托哌酮片,中风,cure
盐酸托哌酮片,中风,cure
盐酸托哌酮片,中风,cure
盐酸托哌酮胶囊,脑动脉硬化,cure
盐酸托哌酮胶囊,脑动脉硬化,cure
盐酸妥卡尼片,心律失常,cure
盐酸妥拉唑林注射液,肢端动脉痉挛症,cure
盐酸妥洛特罗片,急性支气管炎,cure
盐酸妥洛特罗片,喘息性支气管炎,cure
盐酸妥洛特罗片,气管炎,cure
盐酸妥洛特罗片,肺气肿,cure
盐酸妥洛特罗片,哮喘,cure
盐酸万乃洛韦片,疱疹,cure
盐酸维拉帕米片,心动过速,cure
盐酸维拉帕米注射液,阵发性室上性心动过速,cure
盐酸维拉帕米片,高血压,cure
盐酸维拉帕米片,心动过速,cure
盐酸维拉帕米片,心房扑动,cure
盐酸维拉帕米片,心律失常,cure
盐酸维拉帕米片,阵发性室上性心动过速,cure
盐酸维拉帕米片,高血压,cure
盐酸维拉帕米注射液,心房颤动,cure
注射用盐酸维拉帕米,心房颤动,cure
盐酸维拉帕米注射液,心房颤动,cure
盐酸维拉帕米注射液,心房颤动,cure
盐酸维拉帕米注射液,心房颤动,cure
盐酸维拉帕米注射液,心房颤动,cure
盐酸伪麻黄碱片,感冒,cure
盐酸乌拉地尔注射液,手术,cure
盐酸西替利嗪胶囊,麻疹,cure
盐酸西替利嗪胶囊,过敏,cure
盐酸西替利嗪胶囊,过敏,cure
盐酸西替利嗪胶囊,鼻炎,cure
盐酸西替利嗪胶囊,鼻炎,cure
盐酸西替利嗪胶囊,鼻炎,cure
盐酸西替利嗪分散片,瘙痒,cure
盐酸消旋山莨菪碱注射液,中毒,cure
盐酸消旋山莨菪碱注射液,微循环障碍,cure
盐酸消旋山莨菪碱注射液,有机磷中毒,cure
盐酸小檗碱片,肠道感染,cure
盐酸小檗碱片,肠道感染,cure
盐酸小檗碱片,肠道感染,cure
盐酸小檗碱片,痢疾,cure
盐酸小檗碱胶囊,胃肠道感染,cure
盐酸溴己新片,气管炎,cure
盐酸溴己新片,气管炎,cure
盐酸溴己新片,气管炎,cure
盐酸溴己新片,气管炎,cure
盐酸溴己新片,气管炎,cure
盐酸溴己新片,气管炎,cure
盐酸溴己新片,气管炎,cure
盐酸依普拉酮片,肺气肿,cure
盐酸依普拉酮片,气管炎,cure
盐酸依普拉酮片,镇咳,cure
盐酸依普拉酮片,肺气肿,cure
盐酸依普拉酮片,气管炎,cure
盐酸依普拉酮片,镇咳,cure
盐酸依托必利分散片,呕吐,cure
盐酸乙胺丁醇片,结核性脑膜炎,cure
盐酸乙胺丁醇片,结核性脑膜炎,cure
盐酸乙胺丁醇片,肺结核,cure
盐酸乙胺丁醇片,肺结核,cure
盐酸异丙嗪片,食物过敏,cure
盐酸异丙嗪片,食物过敏,cure
盐酸异丙嗪片,食物过敏,cure
盐酸异丙嗪注射液,呕吐,cure
盐酸异丙嗪注射液,镇痛,cure
盐酸异丙嗪注射液,血管运动性鼻炎,cure
盐酸异丙嗪注射液,结膜炎,cure
盐酸异丙嗪注射液,晕飞机,cure
盐酸异丙嗪注射液,水肿,cure
盐酸异丙嗪片,过敏性鼻炎,cure
盐酸异丙嗪片,晕飞机,cure
盐酸异丙嗪注射液,血管运动性鼻炎,cure
盐酸异丙嗪注射液,结膜炎,cure
盐酸异丙嗪注射液,晕飞机,cure
盐酸异丙嗪注射液,水肿,cure
盐酸异丙嗪注射液,过敏性鼻炎,cure
盐酸异丙嗪注射液,晕船,cure
盐酸异丙嗪片,呕吐,cure
盐酸异丙嗪片,结膜炎,cure
盐酸异丙嗪片,过敏,cure
盐酸异丙嗪片,晕动症,cure
盐酸异丙嗪片,荨麻疹,cure
盐酸异丙嗪片,呕吐,cure
盐酸异丙嗪片,结膜炎,cure
盐酸异丙嗪片,过敏,cure
盐酸异丙嗪片,晕动症,cure
盐酸异丙嗪注射液,血管神经性水肿,cure
盐酸异丙嗪注射液,过敏性结膜炎,cure
盐酸异丙嗪注射液,晕动病,cure
盐酸异丙肾上腺素注射液,传导阻滞,cure
盐酸异丙肾上腺素气雾剂,哮喘,cure
盐酸左西替利嗪分散片,鼻炎,cure
盐酸左旋咪唑颗粒,线虫病,cure
盐酸左旋咪唑搽剂,风湿性关节炎,cure
盐酸左旋咪唑栓,蛲虫病,cure
盐酸左旋咪唑搽剂,溃疡,cure
盐酸左旋咪唑片,线虫病,cure
盐酸左旋咪唑搽剂,类风湿性关节炎,cure
盐酸左旋咪唑栓,钩虫病,cure
盐酸左旋咪唑宝塔糖,线虫病,cure
盐酸左氧氟沙星胶囊,败血症,cure
盐酸左氧氟沙星胶囊,皮肤软组织感染,cure
盐酸左氧氟沙星胶囊,扁桃体炎,cure
盐酸左氧氟沙星胶囊,急性支气管炎,cure
盐酸左氧氟沙星胶囊,前列腺炎,cure
盐酸左氧氟沙星胶囊,术后伤口感染,cure
盐酸左氧氟沙星胶囊,肠道感染,cure
盐酸左氧氟沙星胶囊,前列腺炎,cure
盐酸左氧氟沙星胶囊,肺部感染,cure
盐酸左氧氟沙星胶囊,全身感染,cure
盐酸左氧氟沙星胶囊,宫颈炎,cure
盐酸左氧氟沙星胶囊,软组织感染,cure
盐酸左氧氟沙星胶囊,骨和关节感染,cure
盐酸左氧氟沙星胶囊,生殖系统感染,cure
盐酸左氧氟沙星胶囊,呼吸道感染,cure
盐酸左氧氟沙星胶囊,胃肠道感染,cure
盐酸左氧氟沙星胶囊,淋病,cure
盐酸左氧氟沙星胶囊,细菌性前列腺炎,cure
注射用盐酸左氧氟沙星,泌尿生殖系统感染,cure
注射用盐酸左氧氟沙星,尿路感染,cure
盐酸左氧氟沙星分散片,尿道炎,cure
盐酸左氧氟沙星分散片,尿路感染,cure
注射用盐酸左氧氟沙星,尿路感染,cure
注射用盐酸左氧氟沙星,支气管感染,cure
注射用盐酸左氧氟沙星,尿路感染,cure
注射用盐酸左氧氟沙星,支气管感染急性发作,cure
注射用盐酸左氧氟沙星,皮肤软组织,cure
注射用盐酸左氧氟沙星,败血症,cure
注射用盐酸左氧氟沙星,皮肤软组织感染,cure
注射用盐酸左氧氟沙星,肠道感染,cure
注射用盐酸左氧氟沙星,前列腺炎,cure
注射用盐酸左氧氟沙星,肺部感染,cure
注射用盐酸左氧氟沙星,全身感染,cure
盐酸左氧氟沙星胶囊,肠炎,cure
盐酸左氧氟沙星胶囊,弥漫性细支气管炎,cure
盐酸左氧氟沙星胶囊,软组织感染,cure
盐酸左氧氟沙星胶囊,五官科感染,cure
氧氟沙星胶囊,败血症,cure
氧氟沙星胶囊,皮肤软组织感染,cure
氧氟沙星胶囊,肠道感染,cure
氧氟沙星胶囊,前列腺炎,cure
氧氟沙星胶囊,肺部感染,cure
氧氟沙星胶囊,全身感染,cure
氧氟沙星胶囊,宫颈炎,cure
氧氟沙星胶囊,软组织感染,cure
氧氟沙星胶囊,骨和关节感染,cure
氧氟沙星胶囊,生殖系统感染,cure
氧氟沙星胶囊,呼吸道感染,cure
氧氟沙星胶囊,胃肠道感染,cure
氧氟沙星胶囊,淋病,cure
氧氟沙星胶囊,细菌性前列腺炎,cure
氧氟沙星胶囊,泌尿生殖系统感染,cure
氧氟沙星胶囊,尿路感染,cure
氧氟沙星滴耳液,中耳炎,cure
氧氟沙星软膏,癣病,cure
注射用氧氟沙星,尿路感染,cure
注射用氧氟沙星,支气管感染急性发作,cure
氧氟沙星滴耳液,鼓膜炎,cure
氧氟沙星软膏,疥疮,cure
氧氟沙星软膏,脓疱,cure
氧氟沙星眼膏,角膜炎,cure
氧氟沙星眼膏,结膜炎,cure
注射用氧氟沙星,淋病,cure
注射用氧氟沙星,细菌性前列腺炎,cure
注射用氧氟沙星,泌尿生殖系统感染,cure
注射用氧氟沙星,尿路感染,cure
注射用氧氟沙星,尿道炎,cure
注射用氧氟沙星,尿路感染,cure
注射用氧氟沙星,尿路感染,cure
注射用氧氟沙星,支气管感染,cure
注射用氧氟沙星,尿路感染,cure
注射用氧氟沙星,支气管感染急性发作,cure
注射用氧氟沙星,尿路感染,cure
注射用氧氟沙星,支气管感染,cure
注射用氧氟沙星,尿路感染,cure
注射用氧氟沙星,支气管感染急性发作,cure
注射用氧氟沙星,皮肤软组织,cure
注射用氧氟沙星,败血症,cure
注射用氧氟沙星,皮肤软组织感染,cure
氧氟沙星栓,阴道炎,cure
氧氟沙星栓,阴道炎,cure
氧氟沙星葡萄糖注射液,败血症,cure
氧氟沙星葡萄糖注射液,皮肤软组织感染,cure
氧氟沙星葡萄糖注射液,肠道感染,cure
氧氟沙星葡萄糖注射液,前列腺炎,cure
氧氟沙星葡萄糖注射液,肺部感染,cure
氧氟沙星葡萄糖注射液,全身感染,cure
氧氟沙星葡萄糖注射液,宫颈炎,cure
氧氟沙星葡萄糖注射液,软组织感染,cure
氧氟沙星葡萄糖注射液,骨和关节感染,cure
氧氟沙星葡萄糖注射液,生殖系统感染,cure
氧氟沙星葡萄糖注射液,呼吸道感染,cure
氧氟沙星葡萄糖注射液,胃肠道感染,cure
氧氟沙星葡萄糖注射液,淋病,cure
氧氟沙星葡萄糖注射液,细菌性前列腺炎,cure
氧氟沙星葡萄糖注射液,泌尿生殖系统感染,cure
氧氟沙星葡萄糖注射液,尿路感染,cure
氧氟沙星葡萄糖注射液,尿道炎,cure
氧氟沙星葡萄糖注射液,尿路感染,cure
氧化锌软膏,急性皮炎,cure
氧化锌软膏,亚急性皮炎,cure
氧化锌软膏,急性皮炎,cure
氧化锌软膏,急性皮炎,cure
氧化锌油,急性皮炎,cure
氧化亚氮,镇痛,cure
叶酸片,贫血,cure
伊曲康唑胶囊,系统性真菌感染,cure
伊曲康唑胶囊,系统性曲霉病及念珠菌病,cure
伊曲康唑胶囊,系统性曲霉病,cure
依巴斯汀片,瘙痒,cure
依降钙素注射液,骨痛,cure
依诺沙星胶囊,尿路感染,cure
依诺沙星胶囊,支气管感染急性发作,cure
依诺沙星片,皮肤软组织,cure
依诺沙星软膏,创面感染,cure
依诺沙星软膏,疖肿,cure
依诺沙星片,肺部感染,cure
依诺沙星片,全身感染,cure
依诺沙星片,宫颈炎,cure
依诺沙星片,软组织感染,cure
依诺沙星胶囊,肠道感染,cure
依诺沙星胶囊,前列腺炎,cure
依诺沙星片,肺部感染,cure
依诺沙星片,全身感染,cure
依诺沙星胶囊,宫颈炎,cure
依诺沙星胶囊,软组织感染,cure
依诺沙星胶囊,骨和关节感染,cure
依诺沙星胶囊,生殖系统感染,cure
依诺沙星胶囊,呼吸道感染,cure
依诺沙星胶囊,胃肠道感染,cure
依诺沙星软膏,烧烫伤,cure
依诺沙星胶囊,泌尿生殖系统感染,cure
依诺沙星胶囊,尿路感染,cure
依诺沙星片,尿道炎,cure
依诺沙星片,尿路感染,cure
依诺沙星胶囊,尿路感染,cure
依诺沙星胶囊,支气管感染,cure
依诺沙星胶囊,尿路感染,cure
依诺沙星胶囊,支气管感染急性发作,cure
依诺沙星片,败血症,cure
依诺沙星片,皮肤软组织感染,cure
依诺沙星软膏,疖肿,cure
依诺沙星胶囊,肺部感染,cure
依诺沙星胶囊,全身感染,cure
依诺沙星胶囊,宫颈炎,cure
依诺沙星胶囊,软组织感染,cure
依诺沙星软膏,脓疱疮,cure
依诺沙星胶囊,呼吸道感染,cure
依诺沙星胶囊,胃肠道感染,cure
依诺沙星片,急慢性支气管炎,cure
依诺沙星片,软组织感染,cure
依诺沙星片,咽喉炎,cure
依诺沙星软膏,细菌感染,cure
依诺沙星片,尿路感染,cure
依诺沙星片,支气管感染,cure
依诺沙星软膏,脓疱疮,cure
依诺沙星片,呼吸道感染,cure
依诺沙星片,胃肠道感染,cure
依诺沙星片,败血症,cure
依诺沙星片,皮肤软组织感染,cure
依诺沙星片,肠道感染,cure
依诺沙星片,前列腺炎,cure
依帕司他片,糖尿病,cure
依他尼酸片,肾炎,cure
依他尼酸片,中毒,cure
依他尼酸片,肾脏疾病,cure
注射用依他尼酸钠,充血性心力衰竭,cure
注射用依他尼酸钠,肾脏血流灌注不足,cure
依替膦酸二钠胶囊,增龄性骨质疏松症,cure
依托泊苷注射液,神经母细胞瘤,cure
依托泊苷注射液,神经母细胞瘤,cure
依托泊苷注射液,神经母细胞瘤,cure
依托泊苷注射液,神经母细胞瘤,cure
依托泊苷注射液,小细胞肺癌,cure
依托度酸胶囊,风湿,cure
依托度酸缓释片,风湿,cure
依托度酸缓释片,风湿,cure
依托度酸胶囊,风湿,cure
依托度酸胶囊,风湿,cure
依托芬那酯乳膏,风湿,cure
依托红霉素片,百日咳,cure
依托红霉素片,破伤风,cure
依托红霉素片,厌氧菌所致口腔感染,cure
依托红霉素颗粒,过敏,cure
依托红霉素颗粒,心内膜炎,cure
依托红霉素颗粒,扁桃体炎,cure
依托红霉素颗粒,沙眼衣原体结膜炎,cure
依托红霉素颗粒,感染性心内膜炎,cure
依托红霉素颗粒,急性咽炎,cure
依托红霉素颗粒,心脏病,cure
依托红霉素颗粒,肺炎,cure
依托红霉素颗粒,生殖系感染,cure
依托红霉素颗粒,白喉,cure
依托红霉素颗粒,内膜炎,cure
依托红霉素颗粒,咽炎,cure
依托红霉素颗粒,风湿热,cure
依托红霉素颗粒,先天性心脏病,cure
依托红霉素片,鼻窦炎,cure
依托红霉素片,沙眼,cure
依托红霉素片,风湿热复发,cure
依托红霉素颗粒,急性扁桃体炎,cure
依托红霉素颗粒,心脏瓣膜置换术后,cure
依托红霉素混悬液,链球菌感染,cure
依托红霉素片,急性咽炎,cure
依托红霉素片,心脏病,cure
依托红霉素胶囊,肺炎,cure
依托红霉素胶囊,伤风,cure
依托红霉素胶囊,感染性心内膜炎,cure
依托红霉素胶囊,呼吸道感染,cure
依托红霉素胶囊,先天性心脏病,cure
依托红霉素胶囊,百日咳,cure
依托红霉素胶囊,破伤风,cure
依托红霉素胶囊,厌氧菌所致口腔感染,cure
依托红霉素片,过敏,cure
依托红霉素片,心内膜炎,cure
依托红霉素片,扁桃体炎,cure
依托红霉素片,沙眼衣原体结膜炎,cure
依托红霉素片,感染性心内膜炎,cure
依托红霉素片,急性咽炎,cure
依托红霉素片,心脏病,cure
依托红霉素片,肺炎,cure
依托红霉素片,生殖系感染,cure
依托红霉素片,白喉,cure
依托红霉素片,内膜炎,cure
依托红霉素片,咽炎,cure
依托红霉素片,风湿热,cure
依托红霉素片,先天性心脏病,cure
依托红霉素片,鼻窦炎,cure
依托红霉素片,沙眼,cure
依托红霉素片,风湿热复发,cure
依托红霉素片,急性扁桃体炎,cure
依托红霉素片,心脏瓣膜置换术后,cure
依托红霉素片,肠炎,cure
依托红霉素片,伤风,cure
依托红霉素片,支原体肺炎,cure
依托红霉素胶囊,急性咽炎,cure
依托红霉素胶囊,心脏瓣膜置换术后,cure
依托红霉素胶囊,扁桃体炎,cure
依托红霉素胶囊,沙眼,cure
依托红霉素胶囊,厌氧菌所致口腔感染,cure
依托红霉素胶囊,风湿热,cure
依托红霉素胶囊,生殖系感染,cure
依托红霉素胶囊,支原体肺炎,cure
依托红霉素胶囊,急性咽炎,cure
依托红霉素胶囊,心脏瓣膜置换术后,cure
依托红霉素颗粒,扁桃体炎,cure
依托红霉素颗粒,沙眼衣原体结膜炎,cure
依托红霉素颗粒,感染性心内膜炎,cure
依托红霉素颗粒,急性咽炎,cure
依托红霉素颗粒,心脏病,cure
注射用胰蛋白酶,出血,cure
注射用胰蛋白酶,毒蛇咬伤,cure
胰岛素注射液,视网膜病,cure
胰岛素注射液,肝硬变,cure
胰岛素注射液,中毒,cure
胰岛素注射液,消瘦,cure
胰岛素注射液,糖尿病酮症酸中毒,cure
胰岛素注射液,视网膜病,cure
胰岛素注射液,肝硬变,cure
胰岛素注射液,中毒,cure
胰岛素注射液,消瘦,cure
胰岛素注射液,糖尿病酮症酸中毒,cure
胰岛素注射液,妊娠糖尿病,cure
注射用胰激肽原酶,脑血管病,cure
注射用胰激肽原酶,脑血管病,cure
注射用胰激肽原酶,脑血管病,cure
注射用胰激肽原酶,脑血管病,cure
注射用胰激肽原酶,脑血管病,cure
注射用胰激肽原酶,脑血管病,cure
注射用胰激肽原酶,脑血管病,cure
胰酶片,消化不良,cure
胰酶肠溶片,消化不良,cure
注射用乙胺硫脲,外伤,cure
注射用乙胺硫脲,脑血管病,cure
注射用乙胺硫脲,中毒,cure
注射用乙胺硫脲,药物中毒,cure
乙胺嘧啶片,弓形虫病,cure
乙胺嘧啶片,弓形虫病,cure
乙水杨胺片,疼痛,cure
乙水杨胺片,头痛,cure
乙酰半胱氨酸胶囊,痰粘,cure
乙酰吉他霉素口含片,冠周炎,cure
乙酰吉他霉素片,呼吸道感染,cure
乙酰螺旋霉素胶囊,皮肤软组织感染,cure
乙酰螺旋霉素胶囊,慢性支气管炎,cure
乙酰螺旋霉素胶囊,扁桃体炎,cure
乙酰螺旋霉素胶囊,支气管炎,cure
乙酰螺旋霉素胶囊,软组织感染,cure
乙酰螺旋霉素胶囊,皮肤软组织感染,cure
乙酰螺旋霉素胶囊,慢性支气管炎,cure
乙酰螺旋霉素胶囊,扁桃体炎,cure
乙酰螺旋霉素胶囊,支气管炎,cure
乙酰螺旋霉素胶囊,软组织感染,cure
乙酰螺旋霉素胶囊,皮肤软组织感染,cure
乙酰麦迪霉素颗粒,咽峡炎,cure
乙酰水杨酸片,头痛,cure
乙酰水杨酸肠溶片,神经痛,cure
乙酰水杨酸肠溶片,肌肉痛,cure
乙酰天麻素片,失眠,cure
乙酰乌头碱片,疼痛,cure
乙酰唑胺片,青光眼急性发作,cure
乙酰唑胺片,青光眼急性发作,cure
乙酰唑胺片,青光眼急性发作,cure
已烯雌酚片,发育不良,cure
已烯雌酚片,手术,cure
已烯雌酚片,萎缩性阴道炎,cure
已烯雌酚片,发育不良,cure
已烯雌酚片,手术,cure
已烯雌酚片,萎缩性阴道炎,cure
已烯雌酚片,发育不良,cure
已烯雌酚片,手术,cure
异甘草酸镁注射液,病毒性肝炎,cure
异戊巴比妥片,高热,cure
注射用异戊巴比妥钠,高热,cure
异烟肼片,脑膜炎,cure
异烟肼片,血液病,cure
异烟肼片,糖尿病,cure
异烟肼片,结核病,cure
异烟肼片,血液病,cure
异烟肼片,糖尿病,cure
异烟肼注射液,结核病,cure
注射用异烟肼,脑膜炎,cure
异烟肼片,肺结核,cure
异烟肼片,矽肺,cure
异烟肼片,脑膜炎,cure
异烟肼片,结核病,cure
异烟肼片,血液病,cure
异烟肼片,糖尿病,cure
益多酯片,高胆固醇血症,cure
益多酯片,高胆固醇血症,cure
吲哒帕胺片,高血压,cure
吲达帕胺片,糖尿病,cure
吲达帕胺缓释胶囊,原发性高血压病,cure
吲达帕胺片,肾性高血压,cure
吲达帕胺片,肾性高血压,cure
吲达帕胺片,高血压,cure
吲哚布芬片,体外循环,cure
